year,model,displ,trans,cyl,manufacturer,cty,hwy,eng.dscr,T,G,S,twodoor.l,fourdoor.p,hatch.p
1984,SPIDER VELOCE 2000,120,manual(m5),4,ALFA ROMEO,23,35,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,BERTONE X1/9,91,manual(m5),4,BERTONE,25,36,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,CORVETTE,350,auto(4),8,CHEVROLET,16,28,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,CORVETTE,350,manual(m4),8,CHEVROLET,16,28,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,300ZX,181,auto(4),6,"NISSAN MOTOR COMPANY, LTD.",19,28,"(FFS,TRBO)",TRUE,FALSE,FALSE,NA,NA,50
1984,300ZX,181,auto(4),6,"NISSAN MOTOR COMPANY, LTD.",20,28,(FFS),FALSE,FALSE,FALSE,NA,NA,50
1984,300ZX,181,manual(m5),6,"NISSAN MOTOR COMPANY, LTD.",20,30,"(FFS,TRBO)",TRUE,FALSE,FALSE,NA,NA,50
1984,300ZX,181,manual(m5),6,"NISSAN MOTOR COMPANY, LTD.",22,33,(FFS),FALSE,FALSE,FALSE,NA,NA,50
1984,EXP,98,auto(3),4,FORD MOTOR COMPANY,27,37,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,EXP,98,manual(m5),4,FORD MOTOR COMPANY,27,41,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,EXP,98,manual(m5),4,FORD MOTOR COMPANY,26,42,"(FFS,TRBO)",TRUE,FALSE,FALSE,NA,NA,NA
1984,CIVIC COUPE,82,manual(m5),4,HONDA,51,67,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,CIVIC COUPE,91,auto(3),4,HONDA,32,42,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,CIVIC COUPE,91,manual(m5),4,HONDA,36,49,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
1984,KENYON 5.0 CABRIO,303,auto(3),8,KENYON CORPORATION OF AMERICA,16,23,(GUZZLER) (FFS),FALSE,TRUE,FALSE,NA,NA,NA
1984,COUNTACH LP500S,290,manual(m5),12,LAMBORGHINI OF NORTH AMERICA,12,18,(GUZZLER) (FFS),FALSE,TRUE,FALSE,NA,NA,NA
1984,ESPRIT,132,manual(m5),4,LOTUS,14,25,(GUZZLER) (TURBO),TRUE,TRUE,FALSE,NA,NA,NA
1984,RX-7,70,auto(4),2,MAZDA,19,29,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RX-7,70,manual(m5),2,MAZDA,19,29,NA,FALSE,FALSE,FALSE,NA,NA,NA
1984,RX-7,80,manual(m5),2,MAZDA,18,29,(FFS) (ROTARY),FALSE,FALSE,FALSE,NA,NA,NA
1984,380SL,234,auto(4),8,MERCEDES-BENZ,18,23,(FFS),FALSE,FALSE,FALSE,NA,NA,NA
