genes	colon replicate1	colon replicate2	colon replicate3	colon replicate4	heart replicate1	heart replicate2	kidney replicate1	kidney replicate2	kidney replicate3	liver replicate1	liver replicate2	lung replicate1	lung replicate2	pancreas replicate1	pancreas replicate2
ENSG00000168256	3657	7298	4937	7871	1793	2086	2433	3597	5161	3133	669	9934	2167	8036	2194
ENSG00000100726	2193	2194	6612	46	9829	3358	3514	830	7062	2717	1996	8801	5496	651	9791
ENSG00000162086	4906	1790	8756	2614	9282	585	7969	5728	5164	5127	8735	3591	326	4815	894
ENSG00000185122	9938	1736	3739	346	7014	4916	3522	9182	2520	2464	4911	6405	7790	9940	5761
ENSG00000180846	1538	7846	7474	8496	9533	3789	3701	5652	3726	3035	1619	7481	6005	6781	640
ENSG00000152818	163	8024	6913	3523	9661	4849	1573	5497	5721	3644	3593	8995	1686	532	4730
ENSG00000198879	2493	3767	518	6559	2464	8540	8626	7486	2350	2769	314	2566	3348	5332	6154
ENSG00000115998	9862	9072	9072	9279	2084	1381	451	4963	5463	4150	3272	1250	8697	265	107
ENSG00000132305	9711	3000	2187	7740	5632	4401	263	6553	2906	554	5305	5563	8130	9498	1019
ENSG00000153015	8904	7159	2050	1819	3512	1199	6329	6099	9441	4814	7775	9967	6258	1799	627
