genes	bladder.1	bladder.2	colon.1	colon.2	colon.3	kidney.1	kidney.2	kidney.3	kidney.4	kidney.5	liver.1	lung.1	lung.2	lung.3	pancreas.1	pancreas.2	pancreas.3
ENSG00000168256	583	1919	8145	9289	4778	101	7139	425	3795	2676	7972	6740	3211	893	5944	6630	3919
ENSG00000100726	3939	7521	1210	2348	4633	4807	349	4260	4999	9749	123	9822	2257	8100	5002	5098	1378
ENSG00000162086	4896	1155	1586	3064	5564	5574	2965	2355	8928	5344	9471	4114	8819	9982	2240	1032	5918
ENSG00000185122	9489	3688	3884	2436	7945	8795	127	401	5758	8622	1131	1164	4431	7557	7003	3810	8469
ENSG00000180846	4161	5704	5942	5503	2458	8893	7231	6315	7601	1646	1815	677	2359	3468	9362	538	1380
ENSG00000152818	6040	2521	4846	93	3286	15	1178	6934	9798	3458	4255	5808	1141	8629	2250	6108	6853
ENSG00000198879	2348	6541	3004	2214	1507	6701	2389	910	6979	2814	3074	2886	7169	1700	8309	9793	4125
ENSG00000115998	615	449	8394	353	1798	4528	2945	5105	4408	8063	9844	9697	4927	5541	5961	4673	8484
ENSG00000132305	9107	8733	7116	4905	5655	6495	1612	4526	4654	5265	9276	3034	8715	6670	5841	2553	7552
ENSG00000153015	1327	7475	3530	8009	1792	450	1720	8932	4843	6699	7706	5711	4717	5196	72	5140	2378
