genes	bladder replicate1	brain replicate1	brain replicate2	colon replicate1	colon replicate2	colon replicate3	heart replicate1	liver replicate1	lung replicate1	pancreas replicate1	pancreas replicate2	pancreas replicate3
ENSG00000168256	5048	2002	8032	1931	5056	6515	1094	4791	7636	883	5896	4670
ENSG00000100726	8718	5121	1631	905	8430	5417	6213	1473	5306	8132	9609	8383
ENSG00000162086	8284	2514	201	9850	3263	6728	129	9471	855	2285	854	42
ENSG00000185122	367	5558	123	3579	386	459	7347	3202	1257	4535	5782	3823
ENSG00000180846	4733	1029	2135	9744	4627	1575	1694	3366	5073	4105	3625	4651
ENSG00000152818	6654	8248	3926	959	7357	9508	9696	3757	6234	3550	9097	13
ENSG00000198879	673	4984	2494	3003	3015	7128	9703	9061	1523	7944	9509	4473
ENSG00000115998	1280	251	3655	6460	4326	286	9964	7402	9276	7944	8334	6634
ENSG00000132305	7426	3820	2315	1634	4314	6861	6933	6075	7204	3	5152	9845
ENSG00000153015	1492	7101	2000	5804	2934	119	1786	2320	9511	4765	3860	1157
