genes	bladder replicate1	bladder replicate2	brain replicate1	brain replicate2	colon replicate1	colon replicate2	heart replicate1	heart replicate2	heart replicate3	heart replicate4	liver replicate1	lung replicate1	lung replicate2
ENSG00000168256	8539	1425	8605	2771	7165	3033	4285	9005	3992	9988	3427	468	8886
ENSG00000100726	939	7814	1066	1050	2802	4300	2910	5522	5853	1828	972	2728	201
ENSG00000162086	9300	5743	780	8045	125	629	5037	9845	2965	5486	786	5215	9651
ENSG00000185122	6176	7904	4382	6822	5833	5117	5038	5861	7335	7738	2612	3481	887
ENSG00000180846	9897	2283	7599	4248	3031	8637	6337	710	7946	7917	3734	9694	5684
ENSG00000152818	7004	2585	7257	8335	8746	7636	4741	8494	3892	1135	6474	2412	146
ENSG00000198879	1491	9864	5095	9250	2377	5288	2	3824	6594	8565	6726	6591	8275
ENSG00000115998	4609	3504	9167	3975	9380	8741	8420	4485	9071	6509	1483	2576	2539
ENSG00000132305	4643	6970	1193	4111	9948	5116	3140	5687	1177	9844	4034	6991	6331
ENSG00000153015	7621	6687	255	3928	8654	8817	8136	9958	7848	9	4135	9941	6995
