genes	colon.1	heart.1	heart.2	heart.3	kidney.1	kidney.2	kidney.3	kidney.4	kidney.5	lung.1	lung.2	lung.3	pancreas.1	pancreas.2	pancreas.3
ENSG00000168256	7024	4910	7457	148	4091	429	1692	3125	9392	5388	6705	1318	4239	6233	1391
ENSG00000100726	7503	5798	3334	4938	8725	2705	7908	1564	1260	2948	6539	5577	5685	5155	9818
ENSG00000162086	5225	6835	7570	4366	5341	4438	3311	2830	9292	6171	2118	3857	9137	4339	7988
ENSG00000185122	3471	7578	5116	7155	4695	5766	3507	9551	2681	9945	3378	7969	3987	2798	3145
ENSG00000180846	4367	6100	4880	6597	9336	2626	8939	5799	4905	3878	5008	6106	1102	8669	5969
ENSG00000152818	9656	6551	63	3625	8286	220	2484	3357	2473	6339	2767	7608	2669	9009	1301
ENSG00000198879	7034	1330	972	7474	7925	4120	130	4540	7762	6919	341	419	8131	3528	1456
ENSG00000115998	7801	3578	999	8740	6496	6187	9552	2191	5598	8077	3854	2243	3995	2537	8822
ENSG00000132305	3880	7455	8294	2074	5618	6048	4431	8279	3803	8565	3476	505	1264	1607	853
ENSG00000153015	8475	1826	3882	7385	9210	5959	1126	2540	1599	8841	8797	6060	7484	8311	1863
