genes	bladder_V1	bladder_V2	bladder_V3	colon_V1	colon_V2	heart_V1	heart_V2	kidney_V1	kidney_V2	liver_V1	liver_V2	liver_V3	liver_V4	lung_V1	lung_V2
ENSG00000168256	3802	6827	3341	3959	7965	5870	6952	8108	6133	2788	41	5246	4177	7966	6329
ENSG00000100726	4734	5467	7095	5337	7338	8477	3982	2483	9550	5711	5147	9109	6450	6252	8556
ENSG00000162086	802	3345	3429	9343	5211	6313	3305	8275	1354	3312	259	7685	2001	1041	5401
ENSG00000185122	9609	1101	4501	1660	556	8568	7813	7108	3608	3378	9071	4646	3685	7025	600
ENSG00000180846	4495	7415	8149	2549	8548	4495	4933	6724	2507	740	1847	6118	8259	79	3123
ENSG00000152818	5356	2334	2009	2671	5206	2397	5247	9569	6924	3252	5930	1423	738	8675	3099
ENSG00000198879	6097	2603	533	8440	2231	5494	2515	219	1509	1208	540	60	4325	212	2742
ENSG00000115998	8338	4225	6527	8060	4081	4634	5208	3213	1712	4666	5644	2447	4928	1013	2697
ENSG00000132305	7651	6792	5320	6480	1759	3491	5382	5896	3885	1706	1532	8960	9649	4524	4917
ENSG00000153015	3458	5429	7974	1016	4611	5926	5430	2144	4733	8461	6862	2780	5082	7151	6541
