genes	bladder.1	bladder.2	bladder.3	brain.1	colon.1	colon.2	colon.3	colon.4	heart.1	kidney.1	kidney.2	liver.1	lung.1	lung.2	lung.3	lung.4	lung.5	pancreas.1	pancreas.2
ENSG00000168256	9234	8238	9035	1447	8628	6355	7471	1411	6342	7591	4814	19	1825	1253	7770	1400	639	4536	2144
ENSG00000100726	7484	2170	5982	8739	1162	5813	9132	1197	4370	9641	9732	1464	8331	476	6681	9021	5145	6373	8597
ENSG00000162086	4354	7455	9812	4155	8976	2660	9875	7137	6424	3297	9258	9762	7020	2531	7227	557	3904	5823	9251
ENSG00000185122	5090	1057	1038	4573	871	9469	4824	3710	1070	5294	2764	9839	8727	13	1217	1535	438	3937	5292
ENSG00000180846	2449	2387	8198	6441	7491	5640	1388	9643	1899	9100	7178	8706	9713	922	8457	2247	104	8674	4868
ENSG00000152818	3689	7715	8568	5845	3422	8715	6110	3525	1395	1426	8465	976	7325	8773	3593	7899	3135	556	4272
ENSG00000198879	7619	8714	9190	4153	8641	8360	6211	5968	5857	7874	6397	5941	7769	6646	4548	1156	6383	336	8392
ENSG00000115998	2081	5262	5432	1672	7609	707	2814	9370	4389	651	9621	1346	8808	123	5954	1328	4583	747	5408
ENSG00000132305	897	6319	9065	7710	1981	4263	5057	5667	7110	1228	5580	1678	2176	8125	7101	3076	1351	3154	5072
ENSG00000153015	7137	8798	1918	4051	4277	8052	6774	3153	9657	3302	1890	5975	96	3834	7422	4764	1903	7828	1936
