genes	brain replicate1	brain replicate2	brain replicate3	brain replicate4	brain replicate5	brain replicate6	colon replicate1	colon replicate2	colon replicate3	heart replicate1	heart replicate2	heart replicate3	heart replicate4	kidney replicate1	kidney replicate2	kidney replicate3	kidney replicate4	lung replicate1	lung replicate2	pancreas replicate1	pancreas replicate2
ENSG00000168256	1490	3094	9092	1090	5099	2660	9391	7555	9740	2758	2551	1893	4564	3776	8674	4722	8898	4674	2491	9279	3415
ENSG00000100726	2956	8859	1539	1772	7040	7154	2864	5994	7625	9996	9796	4475	530	6559	9076	1329	6862	9725	4922	53	2073
ENSG00000162086	7752	8166	8520	9522	6817	9704	8709	8480	4488	3435	3897	2830	6255	6186	2825	341	7864	9068	9649	248	8546
ENSG00000185122	2151	3738	9394	1183	9179	2932	4416	5150	8212	5052	8949	5067	3906	7835	324	7201	9585	7005	8760	6379	3560
ENSG00000180846	1701	332	8315	606	7860	5596	9884	3693	8174	2218	7869	4730	9892	1582	5883	361	1968	1696	636	7881	1304
ENSG00000152818	1903	9748	5978	7593	4440	8572	2748	5477	9288	5331	1873	7840	9514	4029	7392	8618	9435	241	7759	9830	4766
ENSG00000198879	3946	6990	8377	1260	7105	6419	6460	7566	3622	669	6348	6202	4575	3356	5990	7011	3941	9252	9014	8966	8699
ENSG00000115998	9769	7118	7078	5814	2908	9742	7205	7178	696	966	5123	3717	5152	2271	8309	444	7162	212	3823	6869	2470
ENSG00000132305	7927	2526	4456	91	3614	6934	3335	5975	9881	1430	119	2940	9630	44	585	4222	480	7442	7221	9433	5565
ENSG00000153015	9480	7769	9656	7979	2093	2767	3986	3101	6783	4797	4658	1603	447	8066	4767	5727	3414	8508	5723	9007	8522
