genes	brain replicate1	brain replicate2	brain replicate3	colon replicate1	colon replicate2	heart replicate1	kidney replicate1	kidney replicate2	kidney replicate3	liver replicate1	liver replicate2	liver replicate3	lung replicate1	lung replicate2	lung replicate3	pancreas replicate1	pancreas replicate2
ENSG00000168256	4041	5459	8177	3687	3316	9149	2123	506	4693	9629	1462	3436	2552	7579	4474	6022	2170
ENSG00000100726	8652	71	6187	5231	563	550	7306	3131	4022	8825	5789	3183	8968	7162	1088	1241	1757
ENSG00000162086	9003	2142	1979	1593	8468	7977	6821	8578	8642	4541	1151	3504	2988	8841	7008	9066	6176
ENSG00000185122	5275	2307	3141	8863	6350	1489	5736	5674	774	1821	6813	5078	5994	576	9094	4010	5657
ENSG00000180846	1460	2341	1974	6301	3103	4758	7315	2577	9230	5670	4992	8875	9298	1885	9921	6421	5942
ENSG00000152818	6049	6995	1250	6512	9242	8025	6250	6733	538	9034	5090	810	7390	3977	1807	7379	1155
ENSG00000198879	9640	4581	1449	7464	5768	2673	8254	2058	336	5523	9432	4269	1590	8375	5080	9216	718
ENSG00000115998	6687	8777	1336	5870	7841	8697	2657	7933	1698	3960	7154	9594	8040	442	9575	4346	4142
ENSG00000132305	3981	9010	3802	9365	1412	6631	1387	1713	1670	4278	742	3403	7082	4454	433	4842	5651
ENSG00000153015	1050	2064	7657	2371	8943	1867	5219	1240	5176	5307	323	6684	1707	2773	4755	9165	2081
