genes	bladder_V1	brain_V1	colon_V1	heart_V1	heart_V2	heart_V3	kidney_V1	kidney_V2	kidney_V3	kidney_V4	lung_V1	lung_V2	pancreas_V1	pancreas_V2	pancreas_V3
ENSG00000168256	7456	2205	4548	9207	1851	3921	6146	2682	8314	314	3672	885	8410	6853	9384
ENSG00000100726	1908	4453	4581	7191	4477	982	6491	5395	1488	946	834	5962	441	2741	2766
ENSG00000162086	1024	5824	4222	2049	1818	4335	9121	5500	5380	3978	1627	9211	2732	5280	8299
ENSG00000185122	4670	3830	5645	8104	8671	937	4743	8477	2705	2447	9034	4498	1121	8520	4113
ENSG00000180846	1287	9813	102	5237	6700	6047	444	6128	1987	1142	4101	9144	4155	2484	7459
ENSG00000152818	3260	9393	6869	8183	5453	1325	3991	9122	780	2355	3041	3229	9898	9057	6113
ENSG00000198879	1147	3551	1117	8139	9219	9813	879	9905	2268	1983	9500	2620	2455	4242	7358
ENSG00000115998	3648	792	9782	5006	1008	8033	3454	4566	6601	7494	4678	6076	1050	2989	6635
ENSG00000132305	5018	5924	5388	2386	1620	744	7426	385	1929	5569	7054	2899	1100	3332	9476
ENSG00000153015	6620	9023	6646	6713	9017	3494	3696	9911	6950	7141	4932	6536	1447	5720	3597
