genes	brain.1	colon.1	colon.2	heart.1	kidney.1	kidney.2	liver.1	liver.2	lung.1	lung.2	pancreas.1	pancreas.2
ENSG00000168256	3853	1681	6989	7713	5542	1424	6298	6591	5561	527	1367	6759
ENSG00000100726	6294	9970	4999	2465	6131	6850	4398	6190	9496	6137	4295	2485
ENSG00000162086	2475	2540	1460	9317	2250	9999	2371	4939	3778	59	8511	5938
ENSG00000185122	7859	7530	99	8414	7317	3479	4015	9066	9876	6928	2608	5097
ENSG00000180846	211	8337	8406	8974	3094	1915	9048	4883	1191	4135	6499	3870
ENSG00000152818	5940	5499	1504	1952	1539	1592	4008	5010	5675	9046	312	9084
ENSG00000198879	6189	4414	7075	7552	5925	2409	5578	7092	6564	4494	9944	7127
ENSG00000115998	2655	4748	6964	8860	2398	3551	9297	8808	9578	8645	166	8392
ENSG00000132305	3439	6626	7080	6245	9541	9980	336	2937	1306	7645	3945	1345
ENSG00000153015	4629	7356	9610	164	9369	9019	4074	2144	9799	5073	6017	694
