genes	bladder replicate1	bladder replicate2	bladder replicate3	bladder replicate4	brain replicate1	brain replicate2	colon replicate1	kidney replicate1	liver replicate1	lung replicate1	pancreas replicate1	pancreas replicate2
ENSG00000168256	5415	496	5003	8606	2914	532	6881	5693	216	1227	4620	9731
ENSG00000100726	1555	3657	2481	3513	4811	7278	3509	9185	4990	9161	4201	2838
ENSG00000162086	9723	1046	8677	6621	433	2023	2089	8006	4701	8442	7546	9923
ENSG00000185122	7228	3134	5217	3253	3470	3220	4631	2456	2720	5416	1634	5320
ENSG00000180846	6370	8725	672	1352	9358	4999	6259	2266	5824	3925	5677	9977
ENSG00000152818	651	4426	5011	6720	2431	5304	6168	8636	5783	3238	7853	911
ENSG00000198879	5135	6833	3323	1014	2079	5326	9924	4198	1647	1107	7564	8459
ENSG00000115998	5827	4312	6434	118	469	1985	7598	5013	7822	420	9257	8520
ENSG00000132305	4100	3753	511	6321	2877	3993	9699	3184	9903	3277	8478	5835
ENSG00000153015	3140	7071	7017	7188	9288	7995	7090	8282	7594	4913	9175	3142
