genes	bladder replicate1	bladder replicate2	bladder replicate3	bladder replicate4	brain replicate1	brain replicate2	brain replicate3	brain replicate4	colon replicate1	heart replicate1	kidney replicate1	lung replicate1	lung replicate2	lung replicate3	pancreas replicate1	pancreas replicate2	pancreas replicate3
ENSG00000168256	1774	6574	7952	373	4872	294	6974	1414	3537	4611	3602	7424	6798	1997	7208	4552	7187
ENSG00000100726	2764	3882	8416	8849	4187	132	1968	9853	7900	7596	3917	77	6296	6723	4714	5125	3905
ENSG00000162086	3971	2176	5602	5631	7566	2348	9543	3938	8642	5537	6589	1264	115	8376	115	5760	9666
ENSG00000185122	8652	790	9263	3059	5254	6279	5770	5993	1999	8892	1852	1655	8964	863	2096	8272	8920
ENSG00000180846	797	6458	3874	877	4261	5662	2421	2424	2672	2188	3819	1187	8232	2660	5274	7199	818
ENSG00000152818	1565	2164	9669	6894	232	9871	6459	3788	3146	3294	4943	6161	6052	7840	7070	9482	5022
ENSG00000198879	9290	410	6728	4531	3788	8412	1536	6816	4439	6002	7001	5033	9925	9152	2558	4402	3805
ENSG00000115998	2212	8648	3157	5100	1239	6051	7416	1374	4049	7966	8724	9881	4201	476	8619	641	3793
ENSG00000132305	24	5101	2585	2480	9740	3834	1505	2854	9833	1782	4616	7218	1931	5259	1189	4214	4479
ENSG00000153015	9452	1815	9455	5701	9211	324	4503	8480	9131	1636	2759	3822	3937	5500	5745	4757	7923
