genes	bladder replicate1	bladder replicate2	bladder replicate3	brain replicate1	colon replicate1	heart replicate1	kidney replicate1	kidney replicate2	liver replicate1	lung replicate1	lung replicate2	pancreas replicate1	pancreas replicate2
ENSG00000168256	8634	6487	5844	3038	1785	2454	9582	5304	6930	4621	4624	4748	8299
ENSG00000100726	2110	6908	4011	2192	6435	3402	80	6566	4728	4144	9535	3828	8183
ENSG00000162086	827	5129	3716	3236	4084	1477	7556	6835	8910	754	2708	5036	188
ENSG00000185122	3322	2747	3281	4966	267	3212	8737	7082	4509	8945	7700	9285	5375
ENSG00000180846	2355	7742	4180	1680	3863	8227	2411	3775	5884	3697	9343	8678	6270
ENSG00000152818	6876	9999	9864	8285	726	2748	635	2556	4947	2421	3369	8400	1413
ENSG00000198879	2801	9163	2668	6440	6703	5133	8713	8056	2356	1535	7508	6616	9433
ENSG00000115998	6459	7119	8674	9346	6956	1951	5109	751	9539	8971	1394	6857	8216
ENSG00000132305	7145	6885	3301	8482	6941	3338	1046	1866	3757	816	8909	6462	8598
ENSG00000153015	1629	5360	6224	8243	9354	842	9696	942	7626	1028	7399	4323	8683
