genes	bladder replicate1	bladder replicate2	colon replicate1	heart replicate1	heart replicate2	heart replicate3	kidney replicate1	kidney replicate2	kidney replicate3	kidney replicate4	lung replicate1	lung replicate2	lung replicate3	lung replicate4	lung replicate5	pancreas replicate1	pancreas replicate2	pancreas replicate3	pancreas replicate4
ENSG00000168256	2576	5647	3455	4830	4717	6261	7245	866	8771	3292	378	5548	1559	2239	8744	8839	4490	4598	422
ENSG00000100726	8793	1468	3545	8556	8427	4861	3668	8877	1572	4077	8460	3047	1985	3150	4578	3479	734	2389	6989
ENSG00000162086	1813	3289	2185	6899	2714	5425	9849	8086	9463	2551	3103	3992	1835	4638	2433	7410	1152	7390	3785
ENSG00000185122	3285	1143	1008	345	122	3384	6979	2566	146	553	5842	7168	4891	2372	2496	3519	6148	8552	4051
ENSG00000180846	9176	158	1623	7720	6845	6152	4441	6729	6705	4551	3939	9848	4053	6549	1313	9814	5875	8524	3632
ENSG00000152818	2619	8216	6580	8601	4247	8755	2959	4677	9440	8966	3520	4618	428	5597	2809	1143	9451	6918	7089
ENSG00000198879	3649	9122	5927	5776	2068	6675	3774	4035	2879	4804	9545	4944	4513	6462	1208	4173	6318	7351	3609
ENSG00000115998	2374	1831	189	5391	8374	1827	1323	8221	9598	3661	7646	3760	8233	7843	2719	4981	3261	4224	2607
ENSG00000132305	423	1143	8317	9558	7331	230	3401	6355	7797	1699	9726	8838	7302	1095	3110	3387	893	6476	8544
ENSG00000153015	6937	2477	8438	8486	2712	6474	1905	6679	2309	2778	3685	2970	3269	3106	4216	4065	819	1520	9085
