genes	bladder replicate1	brain replicate1	brain replicate2	colon replicate1	colon replicate2	colon replicate3	heart replicate1	heart replicate2	heart replicate3	kidney replicate1	kidney replicate2	kidney replicate3	pancreas replicate1
ENSG00000168256	946	4017	7896	7709	300	7589	2745	4767	4747	8256	831	538	1135
ENSG00000100726	4577	1699	8126	9319	1179	5235	2061	594	4744	7305	1161	1128	5598
ENSG00000162086	5153	740	2584	340	1531	8641	5566	8265	1887	2039	349	5073	9791
ENSG00000185122	9536	1357	5278	8704	4474	4908	2440	7912	109	3301	1160	4	5721
ENSG00000180846	8345	2813	7345	2243	664	1060	7213	9218	2306	8864	8554	1318	9489
ENSG00000152818	6850	6333	580	1754	4293	1150	957	3993	4214	437	2342	9104	4088
ENSG00000198879	3117	7922	4808	54	3966	9787	7087	5700	4261	3035	8426	9085	8970
ENSG00000115998	8604	9095	4064	3128	7827	4050	9215	9636	8269	5543	4977	7170	5434
ENSG00000132305	5718	1073	9911	7919	6588	3223	1192	884	3937	3720	5367	6364	4313
ENSG00000153015	4717	788	7934	4543	7626	3859	4346	851	5282	326	4811	7375	1858
