genes	bladder replicate1	bladder replicate2	bladder replicate3	bladder replicate4	brain replicate1	brain replicate2	brain replicate3	colon replicate1	colon replicate2	colon replicate3	kidney replicate1	kidney replicate2	liver replicate1	liver replicate2	liver replicate3	liver replicate4	liver replicate5	lung replicate1	lung replicate2	lung replicate3	pancreas replicate1
ENSG00000168256	4710	5521	5645	5937	4025	6002	3224	2293	5173	9361	4639	346	9486	2763	5585	4575	2815	5313	3662	2875	2180
ENSG00000100726	1651	8613	7614	6213	5751	5923	7740	8326	2841	8148	4742	9783	9163	9147	1880	6301	8076	1001	404	8251	8243
ENSG00000162086	28	2664	689	582	4783	8227	886	4391	1143	158	2542	4820	1763	885	5351	1636	3995	6409	1989	8427	4840
ENSG00000185122	5363	4314	1731	2828	8303	3562	5985	1119	1688	6410	3897	1141	2139	8145	9921	2146	4039	3845	6017	9715	9480
ENSG00000180846	5919	8999	3734	9560	4757	4821	5444	5803	7545	6163	1886	6763	2921	9661	6279	5575	2937	5829	4378	1530	9820
ENSG00000152818	4002	7367	7409	8512	6428	408	4269	5810	4160	7892	5578	1741	8378	7645	9780	2344	3308	263	8304	8214	7788
ENSG00000198879	7344	4959	2783	7426	928	3626	17	1083	3973	7267	7024	4619	2211	1314	3017	8586	7213	7075	848	2561	9753
ENSG00000115998	3062	7290	5934	3889	5714	3737	5719	8512	1913	3635	9855	7650	9788	1707	8917	5202	5627	6867	8934	3753	6432
ENSG00000132305	8262	4330	4387	9173	661	332	7248	223	3659	951	1750	4507	9599	7567	8844	7654	2420	3856	83	1344	8878
ENSG00000153015	7175	1853	5994	924	9850	3494	5132	1434	5102	6401	6589	2989	5544	9958	6330	4637	7978	2370	5719	6099	9217
