genes	bladder.1	bladder.2	bladder.3	brain.1	brain.2	brain.3	heart.1	liver.1	lung.1	lung.2	lung.3	pancreas.1	pancreas.2
ENSG00000168256	4731	5416	7668	8006	8061	637	1056	28	8027	3620	4837	4039	3200
ENSG00000100726	315	376	3559	5244	471	2025	8065	923	1692	850	9378	4248	3268
ENSG00000162086	7172	6246	4995	9635	8557	4048	9783	7145	5996	6169	5029	524	8082
ENSG00000185122	7136	1006	3294	6591	806	9093	6100	8047	1575	1539	2267	8822	8097
ENSG00000180846	5229	4990	9679	8828	3935	7589	6488	8531	200	2017	2454	7330	3980
ENSG00000152818	2774	6213	4629	6946	5130	6848	6294	8566	4776	1097	6439	7838	2896
ENSG00000198879	6248	5609	7036	1551	6502	1817	7774	7583	9353	7382	337	2312	9548
ENSG00000115998	396	96	8931	946	3892	685	3955	287	5491	5787	9553	1845	1895
ENSG00000132305	5899	9569	1830	8693	6316	487	8625	3915	6639	9144	9242	5032	6861
ENSG00000153015	643	3585	6396	1704	1365	1747	4253	3192	8398	8874	2158	4849	7794
