genes	bladder.1	brain.1	brain.2	colon.1	colon.2	heart.1	kidney.1	kidney.2	kidney.3	kidney.4	liver.1	liver.2	liver.3	pancreas.1	pancreas.2
ENSG00000168256	328	2030	4446	2541	2240	9845	4805	6708	2287	1975	7975	4029	7754	5829	7382
ENSG00000100726	8951	2504	591	7460	2130	4356	1463	3220	7623	3684	9708	3634	5477	7721	5928
ENSG00000162086	5729	9717	8336	6853	6119	6997	6015	3159	8940	4555	6182	5415	8806	1873	4394
ENSG00000185122	138	5481	8827	8214	3005	9644	9679	1468	5440	8403	6908	9352	5049	8037	2014
ENSG00000180846	5444	587	4545	9808	8806	3960	5020	1200	5814	9382	5048	6216	2654	7161	6130
ENSG00000152818	6383	582	5089	1738	7255	8495	3751	3237	4194	7083	4835	2263	1363	4925	241
ENSG00000198879	9586	1304	8298	1422	6859	362	3609	7957	9247	9518	5633	4431	2903	5720	6158
ENSG00000115998	4144	9499	5062	4252	1661	9453	4106	1416	1778	5815	6891	9307	3528	5845	8864
ENSG00000132305	4525	5437	2105	1272	5630	7036	283	2596	8534	9370	8612	6789	9461	8001	2141
ENSG00000153015	6281	743	5810	861	8886	1187	6769	6524	9735	9918	3300	7785	6735	8851	2088
