genes	bladder replicate1	bladder replicate2	bladder replicate3	bladder replicate4	brain replicate1	colon replicate1	heart replicate1	heart replicate2	kidney replicate1	liver replicate1	liver replicate2	liver replicate3	liver replicate4	lung replicate1	lung replicate2	lung replicate3	pancreas replicate1
ENSG00000168256	8472	3508	5631	8927	9038	1389	2367	7383	7684	7448	4253	9915	6618	7478	8531	6062	9726
ENSG00000100726	6701	6627	1215	503	7351	9202	978	4576	5990	9983	8268	5982	6100	4970	2134	2895	437
ENSG00000162086	8169	905	3644	6561	8864	1699	6701	8335	8714	8884	5124	1899	8807	8516	9343	608	1783
ENSG00000185122	7030	1349	1072	3208	465	5563	3194	4819	6662	4331	3899	5270	1732	3552	1038	5789	3944
ENSG00000180846	4310	6473	5242	9506	8515	1508	2871	7432	6930	744	8952	5340	1130	803	9635	3828	850
ENSG00000152818	9372	5661	5997	7277	6042	7686	4628	9016	8317	5256	4496	1584	8073	9766	7796	6293	1086
ENSG00000198879	4727	1531	6271	8676	7916	538	5031	2179	7075	170	1943	5983	3351	3037	981	5192	2275
ENSG00000115998	3659	3214	9282	4926	8946	1209	8750	3701	5162	4924	6599	6734	194	3881	1619	2566	9309
ENSG00000132305	1464	9293	7278	7143	8387	2850	3202	9239	9517	1670	7644	5909	8746	2465	2493	4717	1856
ENSG00000153015	3926	2690	9075	7104	3077	7681	9131	4204	6978	6826	6469	9548	1577	6184	2572	7732	7294
