genes	brain replicate1	brain replicate2	colon replicate1	colon replicate2	colon replicate3	colon replicate4	colon replicate5	heart replicate1	kidney replicate1	kidney replicate2	kidney replicate3	kidney replicate4	kidney replicate5	liver replicate1	lung replicate1	lung replicate2	pancreas replicate1	pancreas replicate2	pancreas replicate3
ENSG00000168256	7787	4361	1009	2695	2800	4942	9352	3433	7638	1430	2372	1383	4410	9980	6377	125	8957	7849	5791
ENSG00000100726	6385	4545	4720	6741	3126	9524	5789	3624	8886	4477	8529	295	3829	4354	4019	706	8516	3596	8120
ENSG00000162086	2232	5704	3017	925	4110	9386	9388	8363	6739	1159	4683	6884	6193	916	3755	3182	5861	4168	2422
ENSG00000185122	7799	7550	5951	9856	8615	7038	6054	4586	7751	9846	1295	1812	3974	6598	7379	9386	6091	4885	3232
ENSG00000180846	5337	8747	9858	824	7721	4615	7423	7529	5436	2082	67	1123	2407	4474	5987	2310	267	243	1999
ENSG00000152818	6844	841	2365	3216	5511	652	2703	5113	8479	9752	4336	4240	6992	7707	8990	5787	810	6121	939
ENSG00000198879	2103	5630	8590	8651	8944	93	3091	5921	3666	9948	498	8990	7402	5767	7682	906	4371	5174	1558
ENSG00000115998	6214	9367	8895	962	6944	2466	3836	6434	5993	5414	6483	664	4337	1189	4881	4315	7861	9423	8714
ENSG00000132305	9427	1649	1331	285	4118	9899	5991	8329	3996	9619	6212	2824	8528	5079	4165	8212	9168	5574	5576
ENSG00000153015	4001	592	5370	9828	3912	8872	1629	220	4679	837	6917	3665	4206	8997	8527	9008	2432	7620	9130
