genes	brain replicate1	brain replicate2	colon replicate1	colon replicate2	heart replicate1	kidney replicate1	liver replicate1	liver replicate2	liver replicate3	liver replicate4	lung replicate1	lung replicate2	lung replicate3	lung replicate4	pancreas replicate1	pancreas replicate2	pancreas replicate3
ENSG00000168256	4439	6299	4407	7676	4818	9985	6795	9349	7066	2547	615	3351	3936	1739	8038	4337	4781
ENSG00000100726	4685	6442	2408	3265	5150	2230	1165	3726	3608	2373	250	6717	7084	1298	5174	1127	2817
ENSG00000162086	1376	4398	5195	2717	1362	8050	8794	914	332	4937	5190	1884	36	6794	4232	5752	127
ENSG00000185122	8601	9759	4851	9193	3799	2148	6421	6238	5508	9739	447	7972	9458	3238	9171	5348	9503
ENSG00000180846	6619	2950	2253	6719	2	6732	959	8692	9433	6464	2819	546	7189	8235	7202	6653	8904
ENSG00000152818	3979	6141	3735	3739	3364	5155	6654	397	4484	6080	7771	4594	6279	8155	5926	6138	5254
ENSG00000198879	9146	795	6957	8819	23	138	252	1285	304	8178	8773	3276	4543	7560	7433	6299	9700
ENSG00000115998	3421	8791	8366	2926	791	7014	7580	4445	9725	5192	5047	6802	6825	7870	1215	5986	2500
ENSG00000132305	2731	8210	4965	1308	3165	9790	7086	2957	2575	9574	1084	8152	7835	2218	3013	7830	144
ENSG00000153015	4005	4500	3061	2561	1306	2573	8752	7151	4613	8497	7678	3219	2126	2371	5486	1906	5440
