genes	bladder replicate1	bladder replicate2	brain replicate1	colon replicate1	colon replicate2	colon replicate3	colon replicate4	heart replicate1	heart replicate2	heart replicate3	heart replicate4	kidney replicate1	kidney replicate2	kidney replicate3	kidney replicate4	kidney replicate5	liver replicate1	liver replicate2	lung replicate1	lung replicate2	pancreas replicate1
ENSG00000168256	9067	7356	8633	9813	3428	8901	1666	7011	6755	6577	2546	591	8191	377	9575	8807	4812	3293	4581	7855	7394
ENSG00000100726	9973	3237	9398	9030	3409	42	8437	262	9504	5249	4021	2920	6718	4459	9624	1891	7007	4174	841	4145	2588
ENSG00000162086	5420	776	8625	6037	4683	450	8212	9020	7138	5306	6165	1095	2279	7142	5591	7696	9695	2421	1788	5503	5951
ENSG00000185122	5502	310	6619	6761	8931	8843	3239	3941	391	5964	1844	5851	116	1195	1337	382	5363	9640	6004	2549	310
ENSG00000180846	789	8591	508	2241	8298	9277	1377	8495	9294	2011	1050	4222	6598	2336	4824	9906	6016	3812	8710	8997	3610
ENSG00000152818	4424	6743	9367	6565	4949	5981	8370	4761	9978	2359	9288	2086	2327	5698	7511	1141	5015	7604	9472	9020	3180
ENSG00000198879	8207	9007	4404	9202	5845	9932	7603	1992	4509	2464	5618	3188	3194	4453	437	9133	4861	2869	6835	3375	9953
ENSG00000115998	4426	3516	2868	8910	1353	4706	1464	2194	9661	4415	8171	5631	5855	6873	1155	6731	653	252	7968	6607	2101
ENSG00000132305	9771	9456	6749	3367	8839	6315	873	1284	2839	3073	6950	2548	6122	8626	1154	2108	4918	4543	1643	2198	8405
ENSG00000153015	9619	2068	6427	1754	1811	5363	8593	3058	2258	1490	6071	5263	5652	5881	2658	9902	8355	747	327	1790	2740
