genes	bladder.1	brain.1	brain.2	colon.1	heart.1	heart.2	kidney.1	liver.1	liver.2	lung.1	lung.2	pancreas.1	pancreas.2
ENSG00000168256	5980	7974	3633	9317	2187	8392	3783	3224	9056	2682	1830	9522	7668
ENSG00000100726	7997	2182	7741	2636	6390	1697	8904	5594	5013	7825	5771	1747	1795
ENSG00000162086	9725	8536	5546	6170	2678	8424	3017	3106	2432	3855	7284	4295	8541
ENSG00000185122	8366	5312	8344	9983	4788	1315	944	5056	698	4279	676	1426	5891
ENSG00000180846	3609	634	1660	8684	1871	525	9931	2303	8028	9840	7984	9815	6178
ENSG00000152818	204	9260	2187	4303	2004	6757	1667	6444	8434	8415	1247	3718	7963
ENSG00000198879	9385	5691	6880	7341	2625	2905	7753	7686	5822	5319	7343	8168	8826
ENSG00000115998	3195	4343	4172	9767	5924	8039	1756	6634	2957	7834	4898	1302	9162
ENSG00000132305	7049	827	6184	9191	6693	8701	4383	6211	3933	651	913	3454	5910
ENSG00000153015	7101	5838	1891	2640	7761	4004	5534	933	8996	2647	4718	6205	581
