genes	bladder.1	bladder.2	bladder.3	bladder.4	brain.1	brain.2	brain.3	colon.1	heart.1	kidney.1	liver.1	liver.2	liver.3	lung.1	pancreas.1
ENSG00000168256	424	224	5227	7883	5269	2706	4599	7736	8192	5521	3642	5431	1355	8217	9025
ENSG00000100726	9204	6427	1081	2267	5463	2677	4791	5868	6931	2729	2033	7075	7922	1976	1867
ENSG00000162086	5916	4425	6298	8359	8893	8512	8350	9158	6929	3739	2207	8800	4342	3503	2609
ENSG00000185122	1104	9166	6601	5131	9290	6885	5882	3628	5701	1420	875	3847	5400	4415	4643
ENSG00000180846	2246	2839	4412	7278	9222	5820	2589	8303	6224	8306	989	7367	4843	575	8915
ENSG00000152818	7715	3660	2244	2701	4993	7297	8254	7986	387	4844	9752	8872	5850	7200	9130
ENSG00000198879	2267	5654	5	6044	414	1432	5299	4372	7181	1665	6248	7321	9552	7065	1609
ENSG00000115998	7741	3787	6867	6416	9426	4546	4923	1218	1385	3185	2005	3917	141	3889	4713
ENSG00000132305	1366	1269	732	7334	5896	87	3413	3323	7988	2626	4878	7204	2159	9249	9936
ENSG00000153015	2685	2223	4521	8992	4034	1230	8031	6539	6254	996	410	3049	8007	4000	8202
