genes	bladder_V1	brain_V1	brain_V2	brain_V3	colon_V1	heart_V1	kidney_V1	kidney_V2	kidney_V3	kidney_V4	lung_V1	lung_V2	lung_V3	pancreas_V1	pancreas_V2	pancreas_V3	pancreas_V4	pancreas_V5	pancreas_V6
ENSG00000168256	8393	1084	7339	2714	713	8576	6295	1333	4254	4402	5278	9512	9466	3151	7854	5472	1119	4339	8156
ENSG00000100726	8714	6706	7988	4012	4847	138	1905	5144	4982	2855	6484	9480	103	7908	5637	9847	2248	403	2667
ENSG00000162086	8790	127	9452	636	9622	8007	2199	8248	9901	584	4100	4719	8209	5095	6857	3481	4876	9111	941
ENSG00000185122	1019	3458	6026	8609	2022	579	4350	908	3977	6245	7461	417	9360	2878	2	3500	454	9876	7037
ENSG00000180846	1312	2097	8653	325	4788	3765	5755	8359	8978	8966	5552	4183	4849	9326	4576	9916	7501	9868	7755
ENSG00000152818	8227	6179	1671	9997	3280	5870	1086	3223	9895	7640	1432	8610	1909	139	4103	8053	5795	4936	8110
ENSG00000198879	1350	1585	1554	7824	4272	17	2281	2573	9816	8066	2334	810	3946	570	3960	9486	6099	671	3774
ENSG00000115998	723	9188	2109	8950	209	7890	2703	4123	5819	462	829	5878	8471	376	3267	7818	2786	7380	9113
ENSG00000132305	8429	8027	5110	658	4740	2815	4030	7639	3133	19	2596	2237	36	5238	4796	3232	6312	611	9296
ENSG00000153015	7282	2418	573	269	1284	840	1571	2732	5526	1397	4268	6073	6156	7381	4571	4433	9437	7796	3550
