genes	bladder replicate1	bladder replicate2	bladder replicate3	bladder replicate4	bladder replicate5	colon replicate1	colon replicate2	heart replicate1	kidney replicate1	liver replicate1	liver replicate2	liver replicate3	lung replicate1	lung replicate2	lung replicate3	lung replicate4	pancreas replicate1	pancreas replicate2	pancreas replicate3
ENSG00000168256	6263	7479	7864	4031	7844	34	3184	4628	8258	6992	1368	4177	2363	8224	684	6878	3005	1648	2647
ENSG00000100726	1921	1103	8192	2366	4547	8025	7528	858	2806	2577	5256	3094	7389	5002	5067	3600	8008	1332	7974
ENSG00000162086	2071	9726	5341	1854	349	6268	4556	8540	3334	6082	3809	5655	3773	2219	9552	7584	9330	3070	490
ENSG00000185122	9561	2896	323	7069	2350	1337	3220	9616	2703	4319	9225	2776	2797	2568	6454	9634	5218	1955	8532
ENSG00000180846	9348	7778	2555	5586	4075	2725	2058	8390	7826	1661	1605	8400	5298	8126	2963	8673	1239	6938	4585
ENSG00000152818	2042	3703	1786	9134	9478	6711	5132	4415	3248	7326	2860	5050	3308	4442	1876	5527	5080	4291	3567
ENSG00000198879	1904	6807	3048	6002	5927	1418	7553	9071	1763	3234	4079	2063	8073	8627	6865	7877	8513	5582	3016
ENSG00000115998	6634	1759	6178	8237	3229	4368	9124	29	9120	1167	3238	4768	4857	958	4123	7493	5551	9150	8938
ENSG00000132305	9558	9084	4014	2577	1139	5341	7653	598	7743	4399	1960	6569	8439	7391	3474	5206	1748	5902	2150
ENSG00000153015	7273	7169	1408	4273	8519	9385	7279	5891	8032	1202	2954	177	8094	5141	754	271	5180	7494	6832
