genes	bladder.1	brain.1	colon.1	colon.2	heart.1	heart.2	kidney.1	kidney.2	kidney.3	kidney.4	kidney.5	liver.1	liver.2	liver.3	lung.1	lung.2	lung.3
ENSG00000168256	7382	7251	7361	9124	2351	1646	234	2515	3505	9603	7184	1321	7670	4106	683	709	3623
ENSG00000100726	6384	8608	8785	6816	8256	1191	9589	1039	1705	6569	822	7028	6304	9729	8462	7235	2991
ENSG00000162086	7775	593	5252	3296	3604	7400	3024	3422	2503	7449	6305	5316	3209	7317	6996	1565	5453
ENSG00000185122	6636	3679	9025	8202	7030	5732	7646	3980	9445	1230	3327	7752	9491	194	5084	3461	423
ENSG00000180846	3241	5720	3759	4618	7303	3697	8315	3250	2420	3421	1139	1733	4003	3346	3014	6578	6897
ENSG00000152818	8927	41	314	367	9203	3417	2592	8611	5897	6068	3993	2639	6738	5036	7303	6965	3848
ENSG00000198879	6403	115	1182	2816	8924	9594	3300	8427	8422	4944	6519	420	4114	9765	2210	3644	5845
ENSG00000115998	1729	2423	3716	7629	3779	8104	3122	5028	1851	1455	1547	723	707	6414	4428	5042	6083
ENSG00000132305	7757	3182	5754	5034	6130	8594	7788	3493	6596	4662	7312	6718	4392	7851	2352	1320	4524
ENSG00000153015	9816	2693	7776	2397	6308	9921	9966	2361	9918	8122	7026	2993	3891	9834	8015	9277	6578
