genes	bladder replicate1	brain replicate1	colon replicate1	heart replicate1	heart replicate2	kidney replicate1	kidney replicate2	kidney replicate3	lung replicate1	lung replicate2	pancreas replicate1	pancreas replicate2	pancreas replicate3
ENSG00000168256	5353	221	2128	2191	5248	1140	6423	2279	6037	7269	4110	1841	7951
ENSG00000100726	4035	4476	9944	3172	5372	1235	9417	438	7694	8636	2399	7825	8658
ENSG00000162086	9498	5349	4677	3640	4665	67	3266	6758	1174	7149	64	4571	2260
ENSG00000185122	6655	7883	7165	9080	3992	4348	8720	2452	10000	3771	7055	2570	9911
ENSG00000180846	676	8423	13	6882	7518	9888	7545	666	9812	7332	8671	7760	7131
ENSG00000152818	8771	2639	7245	7984	2191	6605	346	576	2423	5969	6869	2064	1400
ENSG00000198879	6322	2708	7869	2469	6461	1473	7835	1225	3665	1582	7638	8070	297
ENSG00000115998	618	2019	6506	7338	9985	2818	8231	9828	3343	6874	3196	7798	2130
ENSG00000132305	9923	1434	7509	3806	704	648	7592	759	2096	8659	1780	7705	7557
ENSG00000153015	2335	7484	9775	8121	9905	3409	3723	4017	7838	6787	5211	3230	6441
