genes	bladder_V1	bladder_V2	brain_V1	brain_V2	brain_V3	colon_V1	colon_V2	heart_V1	heart_V2	kidney_V1	kidney_V2	liver_V1	liver_V2	liver_V3	pancreas_V1	pancreas_V2	pancreas_V3
ENSG00000168256	6457	1146	6372	9934	7003	6769	5660	6434	2299	2939	4509	1706	3442	875	3886	7780	8709
ENSG00000100726	4960	4268	4084	5953	6889	5503	4656	5795	3086	6061	4650	1543	3983	5011	7095	927	8723
ENSG00000162086	8606	3918	3539	4153	6786	8660	2644	6805	4581	2001	1776	956	1474	6012	3547	1692	1608
ENSG00000185122	5248	5082	3873	5896	262	2420	6341	1747	5795	3672	1187	9465	5957	7165	7994	2826	3172
ENSG00000180846	8565	1448	4206	3149	2394	8745	6444	511	8346	6091	7974	2370	3293	7336	3149	5934	8473
ENSG00000152818	8193	4285	5073	6970	7283	6922	2762	4072	9755	4341	1678	4606	9347	3212	8848	7344	8870
ENSG00000198879	6717	9563	8913	6266	5363	2647	5288	5546	7413	2890	7309	8911	3491	2691	5551	9963	1238
ENSG00000115998	6009	1586	5572	9917	5682	912	9092	9940	3727	4023	7000	3753	7294	5722	1429	6641	303
ENSG00000132305	248	2483	5994	3115	4918	3889	2877	9374	715	8034	1430	6536	5855	7999	7660	3000	6622
ENSG00000153015	6554	2246	7807	2968	8825	8383	4753	3531	6997	7636	8271	5315	4228	8189	3097	7895	1342
